OBJECTID,Title,Visible,Population_max_,Population_detail_,Description,Image_URL,Image_Link_URL,x,y,Transparency,SymbolID
1,Western lowland gorilla (Gorilla gorilla gorilla),1,,Unknown,"<div>HABITAT Rainforests</div><div>CAUSE OF ENDANGERMENT Desease (ebola), hunting</div><div><a href='https://www.worldwildlife.org/species/western-lowland-gorilla' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/9/9c/Western_Lowland_Gorilla_004.jpg,"By Ltshears - Trisha M Shears (Own work) [Public domain], via Wikimedia Commons",16.071,0.506238,,
2,Western lowland gorilla (Gorilla gorilla gorilla),1,,Unknown,"<div>HABITAT Rainforests</div><div>CAUSE OF ENDANGERMENT Desease (ebola), hunting</div><div><a href='https://www.worldwildlife.org/species/western-lowland-gorilla' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/9/9c/Western_Lowland_Gorilla_004.jpg,"By Ltshears - Trisha M Shears (Own work) [Public domain], via Wikimedia Commons",11.808,0.506238,,
3,Western lowland gorilla (Gorilla gorilla gorilla),1,,Unknown,"<div>HABITAT Rainforests</div><div>CAUSE OF ENDANGERMENT Desease (ebola), hunting</div><div><a href='https://www.worldwildlife.org/species/western-lowland-gorilla' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/9/9c/Western_Lowland_Gorilla_004.jpg,"By Ltshears - Trisha M Shears (Own work) [Public domain], via Wikimedia Commons",10.358,1.604,,
4,Western lowland gorilla (Gorilla gorilla gorilla),1,,Unknown,"<div>HABITAT Rainforests</div><div>CAUSE OF ENDANGERMENT Desease (ebola), hunting</div><div><a href='https://www.worldwildlife.org/species/western-lowland-gorilla' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/9/9c/Western_Lowland_Gorilla_004.jpg,"By Ltshears - Trisha M Shears (Own work) [Public domain], via Wikimedia Commons",13.083,3.053,,
5,Yangtze finless porpoise (Neophocaena asiaeorientalis ssp. asiaeorientalis),1,5000,"1,000-1,800 individuals","<div>HABITAT Lake and rivers</div><div>CAUSE OF ENDANGERMENT Habitat destruction, overfishing, pollution, ship movement</div><div><a href='https://www.worldwildlife.org/species/yangtze-finless-porpoise' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/e/e4/Neophocaena_phocaenoides_-Miyajima_Aquarium_-Japan-8a.jpg,"By ori2uru [<a href='http://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>], via Wikimedia Commons",121.536,31.566,,
6,Vaquita (Phocoena sinus),1,1000,400-500 individuals,<div>HABITAT Ocean</div><div>CAUSE OF ENDANGERMENT Entanglement in gillnets</div><div><a href='https://www.worldwildlife.org/species/vaquita' target='_blank'><b>MORE DETAILS</b></a><br /></div><div><br /></div>,https://upload.wikimedia.org/wikipedia/commons/3/38/Vaquita6_Olson_NOAA.jpg,"By Paula Olson, NOAA [Public domain], via Wikimedia Commons",-114.504,31.371,,
7,Sumatran tiger (Panthera tigris sumatrae),1,100,30 individuals,"<div>HABITAT Tropical broadleaf evergreen forests, freshwater swamp forests and peat swamps</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting</div><div><b><a href='https://www.worldwildlife.org/species/sumatran-tiger' target='_blank'>MORE DETAILS</a></b></div>",https://upload.wikimedia.org/wikipedia/commons/a/a4/Sumatran_Tiger_22.jpg,"By Ltshears - Trisha M Shears (Own work) [Public domain], via Wikimedia Commons",101.502,0.720522,,
8,Sumatran orangutan (Pongo abelii),1,20000,"14,613 individuals","<div>HABITAT Tropical and subtropical moist broadleaf forests</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting</div><div><a href='https://www.worldwildlife.org/species/sumatran-orangutan' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/0/0c/Orangutan_Cincinnati_Zoo_002.jpeg,"By Kabir Bakie (Own work) [<a href='https://creativecommons.org/licenses/by-sa/2.5'>CC BY-SA 2.5</a>], via Wikimedia Commons",97.847,3.72,,
9,Sumatran elephant  (Elephas maximus sumatranus),1,100,"2,400-2,800 individuals","<div>HABITAT Broadleaf moist tropical forests</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting</div><div><a href='https://www.worldwildlife.org/species/sumatran-elephant' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/2/2a/Sumatra_elephant_Ragunan_Zoo_3.JPG,"By Midori (Own work) [<a href='http://www.gnu.org/copyleft/fdl.html'>GFDL</a> or CC BY 3.0</a>], via Wikimedia Commons",102.381,-0.993566,,
10,Sumatran rhino (Dicerorhinus sumatrensis),1,100,Fewer than 100 individuals,"<div>HABITAT Dense highland and lowland tropical and sub-tropical forests</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting, natural catastrophes, diseases, inbreeding</div><div><a href='https://www.worldwildlife.org/species/sumatran-rhino' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/3/33/Sumatran_Rhino_2.jpg,"By Charles W. Hardin [<a href='http://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>], via Wikimedia Commons",97.249,3.765,,
11,Sumatran rhino (Dicerorhinus sumatrensis),1,100,Fewer than 100 individuals,"<div>HABITAT Dense highland and lowland tropical and sub-tropical forests</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting, natural catastrophes, diseases, inbreeding</div><div><a href='https://www.worldwildlife.org/species/sumatran-rhino' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/3/33/Sumatran_Rhino_2.jpg,"By Charles W. Hardin [<a href='http://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>], via Wikimedia Commons",118.719,5.222,,
12,South China tiger (Panthera tigris amoyensis),1,100,believed to be extinct in the wild,"<div>HABITAT Montane sub-tropical evergreen forest</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting</div><div><b><a href='https://www.worldwildlife.org/species/south-china-tiger' target='_blank'>MORE DETAILS</a></b></div>",https://upload.wikimedia.org/wikipedia/commons/8/81/2012_Suedchinesischer_Tiger.JPG,"By J. Patrick Fischer (Own work) [<a href='https://creativecommons.org/licenses/by-sa/3.0'>CC BY-SA 3.0 </a>], via Wikimedia Commons",110.266,24.709,,
13,Saola (Pseudoryx nghetinhensis),1,,Unknown,"<div>HABITAT Evergreen forests with little or no dry season</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting</div><div><b><a href='https://www.worldwildlife.org/species/saola' target='_blank'>MORE DETAILS</a></b></div>",https://upload.wikimedia.org/wikipedia/commons/7/72/Pseudoryx_nghetinhensis.PNG,"By Silviculture at Vietnamese Wikipedia (Transferred from vi.wikipedia to Commons.) [<a href='http://www.gnu.org/copyleft/fdl.html'>GFDL</a> or <a href='http://creativecommons.org/licenses/by-sa/3.0/'>CC-BY-SA-3.0</a>], via Wikimedia Commons",105.106,18.717,,
14,Malayan tiger (Panthera tigris jacksoni),1,1000,250-340 individuals,"<div>HABITAT Tropical moist broadleaf forests</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting</div><div><a href='https://www.worldwildlife.org/species/malayan-tiger' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/f/f5/Gahara_the_Malayan_Tiger.jpg,"By Nmwalter (Own work) [<a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>], via Wikimedia Commons",98.748,8.82,,
15,Malayan tiger (Panthera tigris jacksoni),1,1000,250-340 individuals,"<div>HABITAT Tropical moist broadleaf forests</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting</div><div><a href='https://www.worldwildlife.org/species/malayan-tiger' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/f/f5/Gahara_the_Malayan_Tiger.jpg,"By Nmwalter (Own work) [<a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>], via Wikimedia Commons",101.961,4.471,,
16,Mountain gorilla (Gorilla beringei beringei),1,1000,880 individuals,"<div>HABITAT African forests high in the mountains, at elevations of 8,000 to 13,000 feet</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting, desease, war</div><div><a href='https://www.worldwildlife.org/species/mountain-gorilla' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/8/89/Mountain_gorilla_%286461821349%29.jpg,"By Charlesjsharp (Own work, from Sharp Photography, sharpphotography) [<a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>], via Wikimedia Commons",29.591,-1.387,,
17,Mountain gorilla (Gorilla beringei beringei),1,1000,880 individuals,"<div>HABITAT African forests high in the mountains, at elevations of 8,000 to 13,000 feet</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting, desease, war</div><div><a href='https://www.worldwildlife.org/species/mountain-gorilla' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/8/89/Mountain_gorilla_%286461821349%29.jpg,"By Charlesjsharp (Own work, from Sharp Photography, sharpphotography) [<a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>], via Wikimedia Commons",29.889,0.369057,,
18,Hawksbill turtle  (Eretmochelys imbricata),1,20000,"Between 20,000 and 23,000 nesting females","<div>HABITAT Oceans, predominantly coral reefs</div><div>CAUSE OF ENDANGERMENT Habitat destruction, egg collection, fishery-related mortality, pollution.</div><div><a href='https://www.worldwildlife.org/species/hawksbill-turtle' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/b/bf/3959_aquaimages.jpg,"By The original uploader was Aquaimages at English Wikipedia (Transferred from en.wikipedia to Commons.) [<a href='http://creativecommons.org/licenses/by-sa/2.5'>CC BY-SA 2.5</a>], via Wikimedia Commons",126.348,1.811,,
19,Hawksbill turtle  (Eretmochelys imbricata),1,20000,"Between 20,000 and 23,000 nesting females","<div>HABITAT Oceans, predominantly coral reefs</div><div>CAUSE OF ENDANGERMENT Habitat destruction, egg collection, fishery-related mortality, pollution.</div><div><a href='https://www.worldwildlife.org/species/hawksbill-turtle' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/b/bf/3959_aquaimages.jpg,"By The original uploader was Aquaimages at English Wikipedia (Transferred from en.wikipedia to Commons.) [<a href='http://creativecommons.org/licenses/by-sa/2.5'>CC BY-SA 2.5</a>], via Wikimedia Commons",40.703,-5.852,,
20,Hawksbill turtle (Eretmochelys imbricata),1,20000,"Between 20,000 and 23,000 nesting females","<div>HABITAT Oceans, predominantly coral reefs</div><div>CAUSE OF ENDANGERMENT Habitat destruction, egg collection, fishery-related mortality, pollution.</div><div><a href='https://www.worldwildlife.org/species/hawksbill-turtle' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/b/bf/3959_aquaimages.jpg,"By The original uploader was Aquaimages at English Wikipedia (Transferred from en.wikipedia to Commons.) [<a href='http://creativecommons.org/licenses/by-sa/2.5'>CC BY-SA 2.5</a>], via Wikimedia Commons",37.222,-21.844,,
21,Hawksbill turtle (Eretmochelys imbricata),1,20000,"Between 20,000 and 23,000 nesting females","<div>HABITAT Oceans, predominantly coral reefs</div><div>CAUSE OF ENDANGERMENT Habitat destruction, egg collection, fishery-related mortality, pollution.</div><div><a href='https://www.worldwildlife.org/species/hawksbill-turtle' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/b/bf/3959_aquaimages.jpg,"By The original uploader was Aquaimages at English Wikipedia (Transferred from en.wikipedia to Commons.) [<a href='http://creativecommons.org/licenses/by-sa/2.5'>CC BY-SA 2.5</a>], via Wikimedia Commons",-83.844,18.755,,
22,Javan rhino (Rhinoceros sondaicus),1,100,58-68 individuals,"<div>HABITAT Tropical forests</div><div>CAUSE OF ENDANGERMENT Low genetic diversity, natural catastrophes, diseases, habitat change, hunting</div><div><a href='https://www.worldwildlife.org/species/javan-rhino' target='_blank'><b>MORE DETAILS</b></a><br /></div>",https://upload.wikimedia.org/wikipedia/commons/a/ab/Javan_Rhino_1900.jpg,"See page for author [Public domain], via Wikimedia Commons",105.367,-6.772,,
23,Eastern lowland gorilla (Gorilla beringei graueri),1,5000,"Less than 4,000 individuals","<div>HABITAT Tropical and subtropical moist broadleaf forests</div><div>CAUSE OF ENDANGERMENT Habitat destruction, hunting, trade, conflicts, desease</div><div><b><a href='https://www.worldwildlife.org/species/eastern-lowland-gorilla' target='_blank'>MORE DETAILS</a></b><br /></div><div><br /></div>",https://upload.wikimedia.org/wikipedia/commons/8/82/Eastern_lowland_gorilla.jpg,"By Joe McKenna from San Diego, California (Imposing) [<a href='http://creativecommons.org/licenses/by/2.0 '>CC BY 2.0</a>], via Wikimedia Commons",28.018,-1.963,,
